Probe Detununing,Rydberg Population
-314000000.0,1.9374621225459967e-06
-313372000.0,1.947494872699241e-06
-312744000.0,1.9576046360645778e-06
-312116000.0,1.967792181084507e-06
-311488000.0,1.9780582855148846e-06
-310860000.0,1.988403736556206e-06
-310232000.0,1.9988293309875177e-06
-309604000.0,2.0093358753027145e-06
-308976000.0,2.0199241858483466e-06
-308348000.0,2.030595088964307e-06
-307720000.0,2.0413494211263988e-06
-307092000.0,2.052188029091393e-06
-306464000.0,2.063111770044555e-06
-305836000.0,2.074121511749319e-06
-305208000.0,2.085218132699263e-06
-304580000.0,2.0964025222731656e-06
-303952000.0,2.107675580892417e-06
-303324000.0,2.119038220180121e-06
-302696000.0,2.130491363124418e-06
-302068000.0,2.142035944243021e-06
-301440000.0,2.1536729097514805e-06
-300812000.0,2.1654032177336163e-06
-300184000.0,2.1772278383150036e-06
-299556000.0,2.1891477538392998e-06
-298928000.0,2.201163959047441e-06
-298300000.0,2.2132774612605816e-06
-297672000.0,2.2254892805644553e-06
-297044000.0,2.237800449998441e-06
-296416000.0,2.250212015746927e-06
-295788000.0,2.2627250373340927e-06
-295160000.0,2.2753405878219858e-06
-294532000.0,2.2880597540121978e-06
-293904000.0,2.3008836366502352e-06
-293276000.0,2.313813350634295e-06
-292648000.0,2.326850025226429e-06
-292020000.0,2.339994804268921e-06
-291392000.0,2.3532488464023865e-06
-290764000.0,2.3666133252892506e-06
-290136000.0,2.3800894298399153e-06
-289508000.0,2.3936783644439307e-06
-288880000.0,2.4073813492036835e-06
-288252000.0,2.421199620173311e-06
-287624000.0,2.4351344296014917e-06
-286996000.0,2.449187046177596e-06
-286368000.0,2.4633587552835646e-06
-285740000.0,2.4776508592485603e-06
-285112000.0,2.492064677609401e-06
-284484000.0,2.5066015473745716e-06
-283856000.0,2.521262823293194e-06
-283228000.0,2.536049878128889e-06
-282600000.0,2.5509641029381384e-06
-281972000.0,2.5660069073535624e-06
-281344000.0,2.5811797198723315e-06
-280716000.0,2.596483988149367e-06
-280088000.0,2.61192117929628e-06
-279460000.0,2.62749278018461e-06
-278832000.0,2.6432002977556394e-06
-278204000.0,2.6590452593348925e-06
-277576000.0,2.675029212952194e-06
-276948000.0,2.691153727667856e-06
-276320000.0,2.7074203939048136e-06
-275692000.0,2.7238308237853797e-06
-275064000.0,2.740386651476526e-06
-274436000.0,2.7570895335385493e-06
-273808000.0,2.773941149281893e-06
-273180000.0,2.7909432011300998e-06
-272552000.0,2.8080974149885455e-06
-271924000.0,2.825405540620394e-06
-271296000.0,2.8428693520299195e-06
-270668000.0,2.8604906478519013e-06
-270040000.0,2.8782712517477654e-06
-269412000.0,2.896213012810974e-06
-268784000.0,2.9143178059771934e-06
-268156000.0,2.932587532444041e-06
-267528000.0,2.9510241200974736e-06
-266900000.0,2.969629523946232e-06
-266272000.0,2.9884057265646845e-06
-265644000.0,3.007354738542965e-06
-265016000.0,3.026478598946882e-06
-264388000.0,3.045779375784547e-06
-263760000.0,3.065259166483148e-06
-263132000.0,3.0849200983742947e-06
-262504000.0,3.10476432918734e-06
-261876000.0,3.1247940475538836e-06
-261248000.0,3.145011473520081e-06
-260620000.0,3.1654188590687445e-06
-259992000.0,3.1860184886523134e-06
-259364000.0,3.2068126797352177e-06
-258736000.0,3.227803783346356e-06
-258108000.0,3.24899418464171e-06
-257480000.0,3.270386303479277e-06
-256852000.0,3.2919825950021816e-06
-256224000.0,3.31378555023613e-06
-255596000.0,3.3357976966954437e-06
-254968000.0,3.358021599002846e-06
-254340000.0,3.3804598595193102e-06
-253712000.0,3.403115118987523e-06
-253084000.0,3.425990057186689e-06
-252456000.0,3.4490873936009454e-06
-251828000.0,3.4724098880999527e-06
-251200000.0,3.4959603416322183e-06
-250572000.0,3.519741596933895e-06
-249944000.0,3.5437565392490894e-06
-249316000.0,3.5680080970653016e-06
-248688000.0,3.592499242863625e-06
-248060000.0,3.617232993882816e-06
-247432000.0,3.6422124128985344e-06
-246804000.0,3.667440609019039e-06
-246176000.0,3.692920738494371e-06
-245548000.0,3.7186560055439527e-06
-244920000.0,3.7446496631987478e-06
-244292000.0,3.7709050141611746e-06
-243664000.0,3.797425411681918e-06
-243036000.0,3.824214260453819e-06
-242408000.0,3.851275017524143e-06
-241780000.0,3.878611193225029e-06
-241152000.0,3.906226352122132e-06
-240524000.0,3.934124113983374e-06
-239896000.0,3.9623081547658795e-06
-239268000.0,3.990782207624109e-06
-238640000.0,4.01955006393756e-06
-238012000.0,4.048615574359918e-06
-237384000.0,4.077982649889096e-06
-236756000.0,4.1076552629594785e-06
-236128000.0,4.137637448556033e-06
-235500000.0,4.167933305351747e-06
-234872000.0,4.198546996868168e-06
-234244000.0,4.229482752659662e-06
-233616000.0,4.260744869522546e-06
-232988000.0,4.292337712728632e-06
-232360000.0,4.3242657172848185e-06
-231732000.0,4.3565333892190576e-06
-231104000.0,4.389145306891707e-06
-230476000.0,4.422106122336051e-06
-229848000.0,4.455420562625848e-06
-229220000.0,4.4890934312715955e-06
-228592000.0,4.523129609646108e-06
-227964000.0,4.5575340584405356e-06
-227336000.0,4.592311819150608e-06
-226708000.0,4.627468015594368e-06
-226080000.0,4.663007855462865e-06
-225452000.0,4.698936631902442e-06
-224824000.0,4.735259725131626e-06
-224196000.0,4.771982604092536e-06
-223568000.0,4.809110828137248e-06
-222940000.0,4.846650048750571e-06
-222312000.0,4.884606011310235e-06
-221684000.0,4.922984556883709e-06
-221056000.0,4.961791624065351e-06
-220428000.0,5.001033250853042e-06
-219800000.0,5.040715576563878e-06
-219172000.0,5.080844843794288e-06
-218544000.0,5.12142740042096e-06
-217916000.0,5.162469701645615e-06
-217288000.0,5.2039783120857415e-06
-216660000.0,5.245959907909692e-06
-216032000.0,5.288421279020427e-06
-215404000.0,5.331369331286105e-06
-214776000.0,5.374811088820676e-06
-214148000.0,5.418753696314674e-06
-213520000.0,5.463204421418942e-06
-212892000.0,5.508170657179586e-06
